Search_Parm,Resource,Search_Pram_Type,Expression
_text,DomainResource,special,
_content,Resource,special,
_filter,Resource,special,
_has,Resource,special,
_id,Resource,token,Resource.id
_in,Resource,reference,Resource.id
_language,Resource,token,Resource.language
_lastUpdated,Resource,date,Resource.meta.lastUpdated
_list,Resource,special,
_profile,Resource,reference,Resource.meta.profile
_query,Resource,special,
_security,Resource,token,Resource.meta.security
_source,Resource,uri,Resource.meta.source
_tag,Resource,token,Resource.meta.tag
_type,Resource,special,
guarantor,Account,reference,Account.guarantor.party
guarantor-account,Account,reference,Account.guarantor.account
identifier,Account,token,Account.identifier
identifier,AdverseEvent,token,AdverseEvent.identifier
identifier,AllergyIntolerance,token,AllergyIntolerance.identifier
identifier,Appointment,token,Appointment.identifier
identifier,AppointmentResponse,token,AppointmentResponse.identifier
identifier,Basic,token,Basic.identifier
identifier,BiologicallyDerivedProduct,token,BiologicallyDerivedProduct.identifier
identifier,BiologicallyDerivedProductDispense,token,BiologicallyDerivedProductDispense.identifier
identifier,BodyStructure,token,BodyStructure.identifier
identifier,CarePlan,token,CarePlan.identifier
identifier,CareTeam,token,CareTeam.identifier
identifier,ChargeItem,token,ChargeItem.identifier
identifier,Claim,token,Claim.identifier
identifier,ClaimResponse,token,ClaimResponse.identifier
identifier,Communication,token,Communication.identifier
identifier,CommunicationRequest,token,CommunicationRequest.identifier
identifier,Composition,token,Composition.identifier
identifier,Condition,token,Condition.identifier
identifier,Consent,token,Consent.identifier
identifier,Contract,token,Contract.identifier
identifier,Coverage,token,Coverage.identifier
identifier,CoverageEligibilityRequest,token,CoverageEligibilityRequest.identifier
identifier,CoverageEligibilityResponse,token,CoverageEligibilityResponse.identifier
identifier,DetectedIssue,token,DetectedIssue.identifier
identifier,DeviceRequest,token,DeviceRequest.identifier
identifier,DeviceUsage,token,DeviceUsage.identifier
identifier,DiagnosticReport,token,DiagnosticReport.identifier
identifier,DocumentReference,token,DocumentReference.identifier
identifier,Encounter,token,Encounter.identifier
identifier,EnrollmentRequest,token,EnrollmentRequest.identifier
identifier,EpisodeOfCare,token,EpisodeOfCare.identifier
identifier,ExplanationOfBenefit,token,ExplanationOfBenefit.identifier
identifier,FamilyMemberHistory,token,FamilyMemberHistory.identifier
identifier,Flag,token,Flag.identifier
identifier,Goal,token,Goal.identifier
identifier,GuidanceResponse,token,GuidanceResponse.identifier
identifier,ImagingSelection,token,ImagingSelection.identifier
identifier,ImagingStudy,token,ImagingStudy.identifier
identifier,Immunization,token,Immunization.identifier
identifier,ImmunizationEvaluation,token,ImmunizationEvaluation.identifier
identifier,ImmunizationRecommendation,token,ImmunizationRecommendation.identifier
identifier,Invoice,token,Invoice.identifier
identifier,List,token,List.identifier
identifier,MeasureReport,token,MeasureReport.identifier
identifier,Medication,token,Medication.identifier
identifier,MedicationAdministration,token,MedicationAdministration.identifier
identifier,MedicationDispense,token,MedicationDispense.identifier
identifier,MedicationRequest,token,MedicationRequest.identifier
identifier,MedicationStatement,token,MedicationStatement.identifier
identifier,NutritionIntake,token,NutritionIntake.identifier
identifier,NutritionOrder,token,NutritionOrder.identifier
identifier,Observation,token,Observation.identifier
identifier,Person,token,Person.identifier
identifier,Procedure,token,Procedure.identifier
identifier,QuestionnaireResponse,token,QuestionnaireResponse.identifier
identifier,RelatedPerson,token,RelatedPerson.identifier
identifier,RequestOrchestration,token,RequestOrchestration.identifier
identifier,ResearchSubject,token,ResearchSubject.identifier
identifier,RiskAssessment,token,RiskAssessment.identifier
identifier,ServiceRequest,token,ServiceRequest.identifier
identifier,Specimen,token,Specimen.identifier
identifier,SupplyDelivery,token,SupplyDelivery.identifier
identifier,SupplyRequest,token,SupplyRequest.identifier
identifier,Task,token,Task.identifier
identifier,VisionPrescription,token,VisionPrescription.identifier
name,Account,string,Account.name
owner,Account,reference,Account.owner
patient,Account,reference,Account.subject.where
patient,AdverseEvent,reference,AdverseEvent.subject.where
patient,AllergyIntolerance,reference,AllergyIntolerance.patient
patient,Appointment,reference,Appointment.participant.actor.where
patient,AppointmentResponse,reference,Appointment.subject.where
patient,AuditEvent,reference,AppointmentResponse.actor.where
patient,Basic,reference,AuditEvent.patient
patient,BiologicallyDerivedProductDispense,reference,Basic.subject.where
patient,BodyStructure,reference,BiologicallyDerivedProductDispense.subject.where
patient,CarePlan,reference,BodyStructure.patient
patient,CareTeam,reference,CarePlan.subject.where
patient,ChargeItem,reference,CareTeam.subject.where
patient,Claim,reference,ChargeItem.subject.where
patient,ClaimResponse,reference,Claim.patient
patient,Communication,reference,ClaimResponse.patient
patient,CommunicationRequest,reference,Communication.subject.where
patient,Composition,reference,CommunicationRequest.subject.where
patient,Condition,reference,Composition.subject.where
patient,Consent,reference,Condition.subject.where
patient,Contract,reference,Consent.subject.where
patient,Coverage,reference,Contract.subject.where
patient,CoverageEligibilityRequest,reference,Coverage.beneficiary
patient,CoverageEligibilityResponse,reference,CoverageEligibilityRequest.patient
patient,DetectedIssue,reference,CoverageEligibilityResponse.patient
patient,DeviceRequest,reference,DetectedIssue.subject.where
patient,DeviceUsage,reference,DeviceRequest.subject.where
patient,DiagnosticReport,reference,DeviceUsage.subject.where
patient,DocumentReference,reference,DiagnosticReport.subject.where
patient,Encounter,reference,DocumentReference.subject.where
patient,EnrollmentRequest,reference,Encounter.subject.where
patient,EpisodeOfCare,reference,EnrollmentRequest.candidate
patient,ExplanationOfBenefit,reference,EpisodeOfCare.subject.where
patient,FamilyMemberHistory,reference,ExplanationOfBenefit.patient
patient,Flag,reference,FamilyMemberHistory.patient
patient,Goal,reference,Flag.subject.where
patient,GuidanceResponse,reference,Goal.subject.where
patient,ImagingSelection,reference,GuidanceResponse.subject.where
patient,ImagingStudy,reference,ImagingSelection.subject.where
patient,Immunization,reference,ImagingStudy.subject.where
patient,ImmunizationEvaluation,reference,Immunization.patient
patient,ImmunizationRecommendation,reference,ImmunizationEvaluation.patient
patient,Invoice,reference,ImmunizationRecommendation.patient
patient,List,reference,Invoice.subject.where
patient,MeasureReport,reference,List.subject.where
patient,MedicationAdministration,reference,MeasureReport.subject.where
patient,MedicationDispense,reference,MedicationAdministration.subject.where
patient,MedicationRequest,reference,MedicationDispense.subject.where
patient,MedicationStatement,reference,MedicationRequest.subject.where
patient,NutritionIntake,reference,MedicationStatement.subject.where
patient,NutritionOrder,reference,NutritionIntake.subject.where
patient,Observation,reference,NutritionOrder.subject.where
patient,Person,reference,Observation.subject.where
patient,Procedure,reference,Person.link.target.where
patient,Provenance,reference,Procedure.subject.where
patient,QuestionnaireResponse,reference,Provenance.patient
patient,RelatedPerson,reference,QuestionnaireResponse.subject.where
patient,RequestOrchestration,reference,RelatedPerson.patient
patient,ResearchSubject,reference,RequestOrchestration.subject.where
patient,RiskAssessment,reference,ResearchSubject.subject.where
patient,ServiceRequest,reference,RiskAssessment.subject.where
patient,Specimen,reference,ServiceRequest.subject.where
patient,SupplyDelivery,reference,Specimen.subject.where
patient,SupplyRequest,reference,SupplyDelivery.subject.where
patient,Task,reference,SupplyRequest.deliverFor
patient,VisionPrescription,reference,Task.for.where
period,Account,date,Account.servicePeriod
status,Account,token,Account.status
subject,Account,reference,Account.subject
type,Account,token,Account.type
type,AllergyIntolerance,token,AllergyIntolerance.type
type,Composition,token,Composition.type
type,Coverage,token,Coverage.type
type,DocumentReference,token,DocumentReference.type
type,Encounter,token,Encounter.type
type,EpisodeOfCare,token,EpisodeOfCare.type
type,Invoice,token,Invoice.type
type,MedicationDispense,token,MedicationDispense.type
type,Specimen,token,Specimen.type
composed-of,ActivityDefinition,reference,ActivityDefinition.relatedArtifact.where
composed-of,EventDefinition,reference,EventDefinition.relatedArtifact.where
composed-of,Library,reference,Library.relatedArtifact.where
composed-of,Measure,reference,Measure.relatedArtifact.where
composed-of,PlanDefinition,reference,PlanDefinition.relatedArtifact.where
context,ActivityDefinition,token,
context,ActorDefinition,token,
context,CapabilityStatement,token,
context,ChargeItemDefinition,token,
context,Citation,token,
context,CodeSystem,token,
context,CompartmentDefinition,token,
context,ConceptMap,token,
context,ConditionDefinition,token,
context,EventDefinition,token,
context,Evidence,token,
context,EvidenceVariable,token,
context,ExampleScenario,token,
